Этап,Задача,План,В процессе,Выполнено
13. Умный чат: Контекст,Фильтрация задач по времени в API,,,✓
13. Умный чат: Контекст,Понимание категорий в боте,,,✓
13. Умный чат: Контекст,Понимание времени в боте,,,✓
13. Умный чат: Контекст,Форматирование вывода с таймстемпами,,,✓
13. Умный чат: Контекст,Группировка задач по дням,,,✓
14. Удаление задач в todoist,Команда /delete,,,✓
14. Удаление задач в todoist,Кнопка Удалить,,,✓
14. Удаление задач в todoist,Пагинация в списке удаления,,,✓
14. Удаление задач в todoist,Эндпоинт DELETE в API,,,✓
15. Пагинация в чате,Кнопка Ещё для категорий,,,✓
15. Пагинация в чате,Inline кнопки для навигации,,,✓
16. Аналитика: Статистика,Выполнено/просрочено за период,✓,,
16. Аналитика: Статистика,Группировка по категориям,✓,,
16. Аналитика: Статистика,Лучшие/худшие дни,✓,,
16. Аналитика: Статистика,Графики продуктивности,✓,,
17. Аналитика: Паттерны,Анализ просроченных задач,✓,,
17. Аналитика: Паттерны,Время максимальной продуктивности,✓,,
17. Аналитика: Паттерны,Игнорируемые категории,✓,,
18. Аналитика: Советы,Персональные рекомендации (по запросу!),✓,,
18. Аналитика: Советы,Советы на основе паттернов,✓,,
18. Аналитика: Советы,Ненавязчивые подсказки,✓,,
19. Авторизация todoist: OAuth,Изучить Todoist OAuth 2.0,✓,,
19. Авторизация todoist: OAuth,Реализовать OAuth flow,✓,,
19. Авторизация todoist: OAuth,"Кнопка ""Подключить Todoist"" в боте",✓,,
19. Авторизация todoist: OAuth,Автоматическое получение токена,✓,,
19. Авторизация todoist: OAuth,Тестирование OAuth потока,✓,,
20. Монетизация,Настройка Freemium модели,✓,,
20. Монетизация,Интеграция платёжной системы,✓,,
20. Монетизация,Лимиты для бесплатного тарифа,✓,,
20. Монетизация,Премиум функции,✓,,
21. Маркетинг,Создание лендинга,✓,,
21. Маркетинг,Видео-демонстрация,✓,,
21. Маркетинг,Публикация на Product Hunt,✓,,
21. Маркетинг,Статьи в блогах,✓,,
